NIT,RAZON_SOCIAL,DEPARTAMENTO,MUNICIPIO,CIIU,DESCRIPCION_CIIU
900309367,SANTA MARIA DEL MAR SAS,ATLÁNTICO,PUERTO COLOMBIA,4731,Comercio al por menor de combustible para automotores
900022013,INVERSIONES FRANQUIHER SAS,CUNDINAMARCA,CHÍA,4771,Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados
860526868,LINEAS AEREAS SURAMERICANAS S.A.S,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",5122,Transporte aéreo internacional de carga
900170399,IMPORTADORA CASA COLOMBIA,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4659,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
900334029,CURTIDOD LEATHERCOL SAS,CUNDINAMARCA,VILLAPINZÓN,1511,Curtido y recurtido de cueros; recurtido y teñido de pieles
900976977,ORTHO-CLINICAL DIAGNOSTICS COLOMBIA S.A.S ,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4645,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
891701664,SOCIEDAD MEDICA DE SANTA MARTA S.A.S.,MAGDALENA,SANTA MARTA,8610,"Actividades de hospitales y clínicas, con internación"
830135186,LA BIFERIA SA,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",5611,Expendio a la mesa de comidas preparadas
900618250,INTERCOMERCIALIZADORA MEAT PACKING SAS    ,ANTIOQUIA,GIRARDOTA,1011,Procesamiento y conservación de carne y productos cárnicos
900309444,HOSPICLINIC DE COLOMBIA SAS,NORTE DE SANTANDER,SAN JOSÉ DE CÚCUTA,4645,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
901239290,ADVANCED STERILIZATION PRODUCTS COLOMBIA SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4659,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
800193425,RIVERA Y FLOREZ SAS DISTRIBUCIONES,PUTUMAYO,MOCOA,4541,"Comercio de motocicletas y de sus partes, piezas y accesorios"
890911846,SEGURIDAD DE COLOMBIA ANTIOQUIA LIMITADA,ANTIOQUIA,MEDELLÍN,8010,Actividades de seguridad privada
860051356,ATLANTA COMPANIA DE VIGILANCIA PRIVADA LTDA,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",8010,Actividades de seguridad privada
800239567,TERMILLANTAS SA,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4530,"Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
805027287,RED DE SALUD DEL NORTE EMPRESA SOCIAL DEL ESTADO,VALLE DEL CAUCA,SANTIAGO DE CALI,8621,"Actividades de la práctica médica, sin internación"
900011106,AVICOLA SAN MARTIN SA,ANTIOQUIA,EL SANTUARIO,0145,Cría de aves de corral
805029025,GRUPO EMPRESARIAL RIV SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4731,Comercio al por menor de combustible para automotores
900322290,COOPER INDUSTRIES COLOMBIA S A S,CUNDINAMARCA,FUNZA,4690,Comercio al por mayor no especializado
830047411,KATA SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",5611,Expendio a la mesa de comidas preparadas
900087315,CONTACT & BUSINESS IT SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",6202,Actividades de consultoría informática y actividades de administración de instalaciones informáticas
860055583,EQUIPOS Y CONTROLES INDUSTRIALES S.A.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4659,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
860009034,STANTON S.A.S,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",1521,"Fabricación de calzado de cuero y piel, con cualquier tipo de suela"
890927404,FIRPLAK SA,ANTIOQUIA,ITAGÜÍ,3290,Otras industrias manufactureras n.c.p.
800078692,TRAVEL CLUB SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",7911,Actividades de las agencias de viaje
802001157,SOCIEDAD COLOMBIANA DE INVERSIONES COMERCIALES S.S,ATLÁNTICO,BARRANQUILLA,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados
832006795,VIDRIOS DE LA SABANA SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4663,"Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción"
860518299,PURIFICACION Y ANALISIS DE FLUIDOS SAS,CUNDINAMARCA,COTA,4659,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
900136052,AGROINDUSTRIA LA MARGARITA S.A.S.,VALLE DEL CAUCA,SANTIAGO DE CALI,0143,Cría de ovejas y cabras
860029949,DIENES Y CIA SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2229,Fabricación de artículos de plástico n.c.p.
830102646,TRANSPORTES ESIVANS SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4921,Transporte de pasajeros
900178272,AMPACET COLOMBIA SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4669,Comercio al por mayor de otros productos n.c.p.
900576528,IMPORTADORA JOTAPARTES SAS,QUINDÍO,ARMENIA,4541,"Comercio de motocicletas y de sus partes, piezas y accesorios"
860535490,TELVAL SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",7112,Actividades de ingeniería y otras actividades conexas de consultoría técnica
891102601,VENTAS NEIVA SAS,HUILA,NEIVA,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco"
830118415,RAINFOREST FARMS & BOUQUETS COMERCIALIZADORA INTERNACIONAL S.A.S,CUNDINAMARCA,CAJICÁ,4620,Comercio al por mayor de materias primas agropecuarias; animales vivos
900462403,INMOBILIARIA CONSTRUCTORA SERVING S.A.S,ANTIOQUIA,RIONEGRO,4111,Construcción de edificios residenciales
800203210,JAM INTERNACIONAL S.A.S.,ATLÁNTICO,BARRANQUILLA,1910,Fabricación de productos de hornos de coque
802015186,CONTACTAMOS DE COLOMBIA SAS,ATLÁNTICO,BARRANQUILLA,7820,Actividades de empresas de servicios temporales
800133177,MACFER SCA,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",6810,Actividades inmobiliarias realizadas con bienes propios o arrendados
900792299,MB DIMCO SAS,CUNDINAMARCA,MADRID,4731,Comercio al por menor de combustible para automotores
900103726,CONSTRUCTORA CCC S.A.S.,NORTE DE SANTANDER,SAN JOSÉ DE CÚCUTA,4290,Construcción de otras obras de ingeniería civil
811024238,BANAEXPORT S.A.S.,ANTIOQUIA,MEDELLÍN,0122,Cultivo de plátano y banano
901253588,INCOMM SAS,VALLE DEL CAUCA,SANTIAGO DE CALI,4610,Comercio al por mayor a cambio de una retribución o por contrata
900075982,DISTRIBUIDOR AGROPECUARIO DEL QUINDÍO S.A.,QUINDÍO,ARMENIA,4664,"Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
900431550,CLINICA LA VICTORIA S.A.S.,ATLÁNTICO,BARRANQUILLA,8621,"Actividades de la práctica médica, sin internación"
830106416,GRUPO SAKA SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",1410,"Confección de prendas de vestir, excepto prendas de piel"
900416733,ACOSUCRE LIMITADA,SUCRE,SINCELEJO,4631,Comercio al por mayor de productos alimenticios
900665649,INVERSIONES GOMEZ ROJAS S.A.S.,ANTIOQUIA,MEDELLÍN,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco"
900318759,SOLUCIONES DE INGENIEROS Y ARQUITECTOS SAS,CÓRDOBA,MONTERÍA,4112,Construcción de edificios no residenciales
900818642,CONSTRUCCIONES COLOMBIANAS OHL SAS ,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4290,Construcción de otras obras de ingeniería civil
900480115,SOUTH POLE CARBON ASSET MANAGEMENT SAS,ANTIOQUIA,MEDELLÍN,4669,Comercio al por mayor de otros productos n.c.p.
804010848,COMERPOL S.A.S.,SANTANDER,BUCARAMANGA,4721,Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados
900034616,HELM ANDINA SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4664,"Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
900473184,EXTRACTORA SANTAFE SAS EN REORGANIZACION,VALLE DEL CAUCA,SANTIAGO DE CALI,1031,Extracción de aceites de origen vegetal crudos
900256370,CHP MATERIALES PARA CONSTRUCCION SAS,SANTANDER,GIRÓN,4663,"Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción"
900267064,INVERSIONES AZALUD S.A.S,MAGDALENA,SANTA MARTA,8610,"Actividades de hospitales y clínicas, con internación"
